time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-03 00:00:00+00:00,4,2,,
2023-01-04 00:00:00+00:00,4,2,,
2023-01-11 00:00:00+00:00,37,29,,
2023-01-12 00:00:00+00:00,60,41,,
2023-01-13 00:00:00+00:00,54,43,,
