time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-04 00:00:00+00:00,15,5,8.0,1.0
2022-07-07 00:00:00+00:00,1,1,,
2022-07-09 00:00:00+00:00,1,1,,
2022-07-11 00:00:00+00:00,3,1,,
2022-07-15 00:00:00+00:00,1,1,,
