time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-09 00:00:00+00:00,4.0,1.0,1.0,1.0
2022-05-10 00:00:00+00:00,,,3.0,1.0
2022-05-11 00:00:00+00:00,4.0,2.0,33.0,1.0
2022-05-12 00:00:00+00:00,2.0,1.0,,
2022-05-13 00:00:00+00:00,77.0,39.0,,
2022-05-14 00:00:00+00:00,141.0,53.0,1.0,1.0
2022-05-15 00:00:00+00:00,85.0,40.0,,
2022-05-16 00:00:00+00:00,64.0,31.0,,
2022-05-17 00:00:00+00:00,17.0,10.0,2.0,2.0
2022-05-18 00:00:00+00:00,36.0,26.0,,
2022-05-19 00:00:00+00:00,59.0,34.0,,
2022-05-20 00:00:00+00:00,55.0,31.0,1.0,1.0
