time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-01 00:00:00+00:00,159,77,7.0,1.0
2023-04-02 00:00:00+00:00,145,66,,
2023-04-03 00:00:00+00:00,148,82,,
2023-04-04 00:00:00+00:00,63,48,,
2023-04-05 00:00:00+00:00,91,45,,
2023-04-06 00:00:00+00:00,120,64,,
2023-04-07 00:00:00+00:00,120,45,,
2023-04-08 00:00:00+00:00,75,33,,
2023-04-09 00:00:00+00:00,60,34,,
2023-04-10 00:00:00+00:00,60,42,,
2023-04-11 00:00:00+00:00,59,41,1.0,1.0
2023-04-12 00:00:00+00:00,59,36,5.0,2.0
2023-04-13 00:00:00+00:00,18,14,1.0,1.0
