time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-11 00:00:00+00:00,4,2,33.0,1.0
2022-05-12 00:00:00+00:00,2,1,,
2022-05-13 00:00:00+00:00,77,39,,
2022-05-14 00:00:00+00:00,141,53,1.0,1.0
2022-05-15 00:00:00+00:00,85,40,,
2022-05-16 00:00:00+00:00,64,31,,
2022-05-17 00:00:00+00:00,17,10,2.0,2.0
2022-05-18 00:00:00+00:00,36,26,,
2022-05-19 00:00:00+00:00,59,34,,
2022-05-20 00:00:00+00:00,60,31,1.0,1.0
2022-05-21 00:00:00+00:00,19,17,,
2022-05-23 00:00:00+00:00,126,69,1.0,1.0
2022-05-24 00:00:00+00:00,74,35,,
