time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-19 00:00:00+00:00,33.0,20.0,1.0,1.0
2022-11-20 00:00:00+00:00,59.0,24.0,,
2022-11-21 00:00:00+00:00,97.0,34.0,20.0,1.0
2022-11-22 00:00:00+00:00,21.0,17.0,,
2022-11-23 00:00:00+00:00,,,2.0,2.0
2022-11-24 00:00:00+00:00,9.0,9.0,,
2022-11-25 00:00:00+00:00,59.0,26.0,1.0,1.0
2022-11-26 00:00:00+00:00,60.0,28.0,,
2022-11-27 00:00:00+00:00,20.0,12.0,,
2022-11-28 00:00:00+00:00,4.0,1.0,,
2022-11-30 00:00:00+00:00,47.0,27.0,4.0,3.0
2022-12-01 00:00:00+00:00,59.0,34.0,,
2022-12-02 00:00:00+00:00,21.0,16.0,,
