time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-19 00:00:00+00:00,17,15,,
2023-03-20 00:00:00+00:00,99,46,10.0,2.0
2023-03-21 00:00:00+00:00,67,44,,
2023-03-22 00:00:00+00:00,24,19,,
2023-03-23 00:00:00+00:00,59,41,,
2023-03-24 00:00:00+00:00,61,35,,
2023-03-25 00:00:00+00:00,19,16,,
2023-03-26 00:00:00+00:00,73,50,4.0,1.0
2023-03-27 00:00:00+00:00,199,94,5.0,2.0
2023-03-28 00:00:00+00:00,143,75,19.0,1.0
2023-03-29 00:00:00+00:00,123,74,,
2023-03-30 00:00:00+00:00,137,81,,
2023-03-31 00:00:00+00:00,75,46,1.0,1.0
