time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-16 00:00:00+00:00,2.0,1.0,,
2022-04-18 00:00:00+00:00,9.0,3.0,3.0,1.0
2022-04-19 00:00:00+00:00,2.0,1.0,1.0,1.0
2022-04-20 00:00:00+00:00,,,9.0,1.0
2022-04-22 00:00:00+00:00,41.0,24.0,7.0,2.0
2022-04-23 00:00:00+00:00,60.0,29.0,,
2022-04-24 00:00:00+00:00,58.0,30.0,,
2022-04-25 00:00:00+00:00,27.0,17.0,1.0,1.0
2022-04-26 00:00:00+00:00,27.0,22.0,18.0,4.0
2022-04-27 00:00:00+00:00,70.0,43.0,7.0,1.0
2022-04-28 00:00:00+00:00,61.0,29.0,1.0,1.0
2022-04-29 00:00:00+00:00,17.0,14.0,,
