time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-11 00:00:00+00:00,16.0,6.0,2.0,1.0
2022-04-12 00:00:00+00:00,2.0,1.0,1.0,1.0
2022-04-13 00:00:00+00:00,57.0,34.0,2.0,2.0
2022-04-14 00:00:00+00:00,60.0,32.0,,
2022-04-15 00:00:00+00:00,22.0,15.0,7.0,2.0
2022-04-16 00:00:00+00:00,2.0,1.0,,
2022-04-18 00:00:00+00:00,9.0,3.0,3.0,1.0
2022-04-19 00:00:00+00:00,2.0,1.0,1.0,1.0
2022-04-20 00:00:00+00:00,,,9.0,1.0
2022-04-22 00:00:00+00:00,41.0,24.0,7.0,2.0
2022-04-23 00:00:00+00:00,60.0,29.0,,
2022-04-24 00:00:00+00:00,54.0,29.0,,
