time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-14 00:00:00+00:00,18.0,10.0,,
2022-07-16 00:00:00+00:00,3.0,2.0,,
2022-07-17 00:00:00+00:00,50.0,28.0,,
2022-07-18 00:00:00+00:00,67.0,36.0,17.0,7.0
2022-07-19 00:00:00+00:00,59.0,33.0,19.0,2.0
2022-07-20 00:00:00+00:00,59.0,33.0,1.0,1.0
2022-07-21 00:00:00+00:00,18.0,13.0,25.0,1.0
2022-07-22 00:00:00+00:00,58.0,22.0,23.0,1.0
2022-07-23 00:00:00+00:00,59.0,24.0,,
2022-07-24 00:00:00+00:00,17.0,11.0,,
2022-07-25 00:00:00+00:00,8.0,1.0,,
2022-07-27 00:00:00+00:00,,,1.0,1.0
