time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-31 00:00:00+00:00,25,18,,
2023-02-01 00:00:00+00:00,58,39,,
2023-02-02 00:00:00+00:00,59,42,,
2023-02-03 00:00:00+00:00,20,13,,
2023-02-05 00:00:00+00:00,29,22,,
2023-02-06 00:00:00+00:00,71,48,,
2023-02-07 00:00:00+00:00,60,39,4.0,1.0
2023-02-08 00:00:00+00:00,59,40,,
2023-02-09 00:00:00+00:00,60,40,1.0,1.0
2023-02-10 00:00:00+00:00,19,14,,
2023-02-11 00:00:00+00:00,38,8,14.0,1.0
2023-02-12 00:00:00+00:00,1,1,,
2023-02-13 00:00:00+00:00,5,2,,
